bench,node,strategy,throughput
matrix_multiply,4,mcs_spin,0.113122171945701
s_raytrace_ll,1,malthusian_spin,152206
bodytrack,2,spinlock,0.0503778337531486
s_raytrace_ll,3,mcs_stp,23703
fmm,2,clh_stp,0.0577700751010976
p_raytrace,3,spinlock,0.0137042620254899
pca_ll,3,ticket,436077
linear_regression,2,spinlock,1.51515151515152
canneal,1,mcs_stp,0.0112676056338028
linear_regression,4,ticket,2.4390243902439
fmm,2,backoff,0.0609384521633151
s_raytrace,4,spinlock,0.0127275041364388
pca_ll,4,malthusian_stp,504790
barnes,3,ticket,0.120336943441637
blackscholes,4,mcs-timepub,0.0352236703064459
linear_regression,3,mcs-timepub,2.4390243902439
word_count,3,posix_adaptive,0.0974658869395712
pca_ll,4,clh_spin,693903
histogram,4,clh_stp,0.487804878048781
matrix_multiply,2,mcs_stp,0.0596658711217184
streamcluster,3,mcs_spin,0.121065375302663
x264,1,c-ptl-tkt,0.0865051903114187
string_match,3,malthusian_stp,0.0954198473282443
canneal,1,malthusian_spin,0.011127183709803
canneal,4,mcs_stp,0.0137703112090333
lu_ncb,4,partitioned,0.0894454382826476
word_count,2,cbomcs_stp,0.111731843575419
s_raytrace_ll,1,mcs_spin,152163
radiosity,4,mcs_spin,0.0665335994677312
fmm,1,cbomcs_stp,0.0432338953739732
radiosity,4,malthusian_stp,0.0616142945163278
x264,4,posix_adaptive,0.13869625520111
kmeans,1,spinlock,0.0238322211630124
bodytrack,4,posix,0.0586166471277843
lu_cb,4,c-tkt-tkt,0.0925069380203515
streamcluster,3,cbomcs_stp,0.238663484486873
swaptions,4,backoff,0.132978723404255
word_count,4,partitioned,0.09000900090009
s_raytrace_ll,2,posix,239833
blackscholes,3,c-ptl-tkt,0.0340831629175187
water_spatial,3,clh_spin,0.078064012490242
streamcluster,3,mcs_spin,0.118343195266272
lu_cb,4,posix,0.0905797101449275
blackscholes,2,mcs-timepub,0.0313774709758393
p_raytrace,3,mcs_spin,0.0136444262518761
pca_ll,4,mcs-timepub,707195
canneal,4,posix,0.013846579894766
blackscholes,2,backoff,0.0314070351758794
p_raytrace,3,c-ptl-tkt,0.0130157490563582
fmm,2,cbomcs_spin,0.0586510263929619
linear_regression,4,mcs_spin,2.56410256410256
vips,1,posix,0.0862812769628991
bodytrack,4,malthusian_spin,0.0591016548463357
streamcluster,4,partitioned,0.156985871271586
fmm,3,partitioned,0.0638569604086845
p_raytrace,3,partitioned,0.0134716421931833
freqmine,2,malthusian_spin,0.0246609124537608
swaptions,2,mcs_stp,0.0668449197860962
bodytrack,1,ticket,0.0360750360750361
fmm,1,partitioned,0.0433839479392625
dedup,4,cbomcs_spin,0.0186880956830499
dedup,1,malthusian_stp,0.0355745286374956
fmm,3,posix_adaptive,0.068870523415978
radiosity,3,c-tkt-tkt,0.0681198910081744
barnes,3,backoff,0.121359223300971
ssl_proxy,3,mcs_stp,4093
radiosity,1,c-tkt-tkt,0.0632911392405063
pca,2,malthusian_spin,0.0873362445414847
volrend,4,ticket,0.13986013986014
dedup,1,mcs-timepub,0.034965034965035
lu_ncb,1,mcs_spin,0.0354484225451967
barnes,3,c-ptl-tkt,0.119617224880383
water_spatial,1,mcs_spin,0.0502260170768458
x264,4,posix_adaptive,0.139470013947001
radiosity,3,ticket,0.0585480093676815
volrend,2,mcs_spin,0.154798761609907
water_nsquared,4,mcs_stp,0.0604960677555959
dedup,4,mcs_spin,0.0207125103562552
x264,3,c-tkt-tkt,0.139082058414465
water_spatial,3,mcs_stp,0.102880658436214
ferret,2,mcs_spin,0.0529661016949153
string_match,3,spinlock,0.0943396226415094
water_nsquared,4,mcs_stp,0.0608642726719416
vips,2,partitioned,0.165016501650165
s_raytrace,3,spinlock,0.0165016501650165
lu_ncb,2,clh_spin,0.0625
lu_ncb,1,posix,0.0402576489533011
s_raytrace,2,malthusian_stp,0.0778816199376947
histogram,1,ticket,0.840336134453782
word_count,3,spinlock,0.0945179584120983
histogram,3,partitioned,0.558659217877095
linear_regression,3,cbomcs_stp,2.17391304347826
fmm,3,clh_spin,0.0615384615384615
radiosity,2,spinlock,0.0455996352029184
s_raytrace,4,malthusian_spin,0.0968054211035818
histogram,3,mcs_spin,0.555555555555556
