bench,node,strategy,throughout,tpp
kmeans,1,partitioned,0.0317762948840165,0.000263152488753715
streamcluster,2,c-tkt-tkt,1.05263157894737,0.0068199291615322
ferret,1,ttas,0.02963841138115,0.000218693101898092
streamcluster_ll,2,spinlock,26644,173.314460764976
vips,2,c-tkt-tkt,0.12970168612192,0.000816806390030602
dedup,2,hticket-ls,0.0506585612968592,0.000510335218776496
x264,2,ahmcs,0.144300144300144,0.000878224714687975
histogram,2,hticket-ls,0.384615384615385,0.00389900009869539
water_spatial,1,hmcs,0.0491642084562439,0.000430035324228225
histogram,2,spinlock,0.411522633744856,0.00396513325103884
histogram,2,c-bo-mcs_spin,0.36231884057971,0.00356249480142946
radiosity_ll,2,mcs-ls,460019,2716.51035242071
histogram,2,ticket-ls,0.636942675159236,0.00544734501524461
histogram,2,c-tkt-tkt,0.581395348837209,0.00514964587687681
water_nsquared,1,mcs_stp,0.0179436569172797,0.000148746215759982
dedup,2,c-ptl-tkt,0.0753012048192771,0.000724986620371921
canneal,1,ticket-ls,0.0155424308361828,0.000160169875477998
ferret,2,mcs-ls,0.0113649278327083,7.33333697912626e-05
streamcluster,1,ticket-ls,1.11111111111111,0.00920210083594
streamcluster,1,ttas,1.40845070422535,0.0121840986108812
histogram,2,ticket-ls,0.392156862745098,0.00386161129693378
matrix_multiply,2,spinlock,0.0663129973474801,0.000409839484542093
streamcluster,2,ttas-ls,0.840336134453782,0.00550540177359601
streamcluster,1,mcs-timepub,1.25,0.0103893979601539
matrix_multiply,2,clh_stp,0.0619962802231866,0.000401234607071144
histogram,2,hmcs,0.495049504950495,0.00454735070802069
string_match,1,pthread,0.0321750321750322,0.000260063883168926
histogram,2,c-bo-mcs_stp,0.555555555555556,0.00496879830681241
linear_regression,1,clh_stp,1.51515151515152,0.0107502735218968
streamcluster,1,mcs-ls,1.13636363636364,0.00922907590831873
histogram,1,ticket,0.961538461538461,0.00801938767163494
radiosity_ll,1,ticket,318749,2522.82654684795
rocksdb,1,spinlock-ls,3307718,24714.651264211
histogram,2,mcs_spin,0.458715596330275,0.00432869865916654
histogram,1,ticket-ls,0.862068965517241,0.00742685730141842
kmeans,1,mcs-timepub,0.0317057704502219,0.000262494835889876
upscaledb,1,c-bo-mcs_spin,322395,2777.34783065913
histogram,2,clh_stp,0.278551532033426,0.00299081334594707
radiosity_ll,2,clh_stp,6267,78.3291178052809
dedup,2,mcs-ls,0.0538793103448276,0.000527228140566648
volrend,1,hticket-ls,0.103842159916926,0.000998982313740399
lu_cb,2,ahmcs,0.078125,0.000568828011327454
dedup,2,spinlock,0.0726216412490922,0.000696676289997918
