bench,node,strategy,throughput
rocksdb,1,malth_stp,1120157
streamcluster,8,spinlock-ls,0.0111370976723466
histogram,1,ahmcs,0.257731958762887
kmeans,2,c-bo-mcs_stp,0.0117813383600377
dedup,4,spinlock,0.0548245614035088
ferret,6,c-bo-mcs_spin,0.0107077845593747
matrix_multiply,4,hticket-ls,0.0523834468308015
ocean_ncp,4,clh_spin,0.137931034482759
pca_ll,2,ticket,160557
vips,6,pthreadadapt,0.144092219020173
blackscholes,2,spinlock-ls,0.0182648401826484
ocean_cp,2,spinlock,0.0912408759124088
dedup,2,partitioned,0.00646454198720021
s_raytrace,4,hticket-ls,0.0626959247648903
streamcluster_ll,4,c-tkt-tkt,17666
kmeans,8,mcs_spin,0.0317762948840165
canneal,1,c-ptl-tkt,0.00728703636231145
water_spatial,6,ticket,0.0638569604086845
ssl_proxy,8,pthread,6888
rocksdb,1,clh_spin,1122121
upscaledb,4,ticket-ls,73629
bodytrack,4,clh_spin,0.0376364320662401
ferret,8,ttas,0.0486144871171609
linear_regression,6,ttas-ls,1.06382978723404
water_nsquared,2,ttas,0.00979911807937286
pca,1,pthread,0.0364298724954463
memcached-old,2,malth_stp,84293
facesim,2,pthreadadapt,0.0606060606060606
freqmine,1,alock-ls,0.00634195839675292
water_spatial,1,c-bo-mcs_spin,0.0198491464867011
string_match,4,partitioned,0.0350262697022767
volrend,6,clh-ls,0.102669404517454
radiosity,8,clh-ls,0.0227272727272727
s_raytrace_ll,6,spinlock,64837
pca,8,mcs-timepub,0.0412541254125413
x264,8,mutexee,0.0824402308326463
linear_regression,1,clh_stp,0.515463917525773
kmeans,6,c-bo-mcs_stp,0.0255232261357836
vips,8,mcs_spin,0.0807754442649435
vips,2,mutexee,0.0542299349240781
upscaledb,8,ticket-ls,125157
pca,4,spinlock-ls,0.0450653447498873
pca_ll,8,ticket-ls,272192
freqmine,4,malth_stp,0.0149767859817283
streamcluster_ll,8,ttas-ls,1366
streamcluster,4,ticket-ls,0.161030595813205
water_spatial,6,backoff,0.0644745325596389
fmm,8,malth_spin,0.0549450549450549
kmeans,6,clh_stp,0.0276243093922652
pca,8,c-tkt-tkt,0.0404203718674212
pca,4,clh_stp,0.0211505922165821
lu_cb,6,malth_spin,0.0572737686139748
word_count,1,hmcs,0.0658761528326746
memcached-old,2,pthread,75913
lu_cb,2,backoff,0.0277161862527716
water_spatial,6,backoff,0.0646412411118293
