bench,node,strategy,throughput,tpp
swaptions,2,mcs-ls,0.0668002672010688,0.000366104931173635
linear_regression,1,clh_spin,1.06382978723404,0.00706300966721902
streamcluster_ll,3,ahmcs,20046,102.498702173971
dedup,3,mutexee,0.0643915003219575,0.000476887905904435
kyotocabinet,1,alock-ls,385218,2706.89030129212
s_raytrace,3,ttas-ls,0.0517063081695967,0.00025342763428656
linear_regression,2,alock-ls,1.72413793103448,0.0104922534066799
dedup,4,alock-ls,0.00978377849525487,7.6253345484854e-05
swaptions,4,hmcs,0.132275132275132,0.000531758845872345
fmm,4,clh_stp,0.0668896321070234,0.000439437227542932
fmm,1,mcs-ls,0.043308791684712,0.000320232612665914
lu_ncb,3,ticket,0.0624219725343321,0.000347788283882187
s_raytrace_ll,2,malth_stp,159995,980.339119579798
s_raytrace,4,partitioned,0.0859845227858985,0.000364082650986589
sqlite,2,malth_stp,12661,93.2214200160253
kyotocabinet,2,hticket-ls,422474,2509.05208865636
matrix_multiply,2,spinlock,0.0610500610500611,0.000352247161293845
word_count,1,c-ptl-tkt,0.129198966408269,0.00096865384339784
matrix_multiply,2,mcs_stp,0.0571102227298686,0.000339189823263311
volrend,3,pthread,0.0819672131147541,0.000603380418035759
mysqld,2,pthreadadapt,2855,13.6529833231893
pca_ll,2,malth_stp,630707,2687.81150375329
freqmine,3,c-ptl-tkt,0.0302480338777979,0.000173716890975287
radiosity,1,ticket,0.0587544065804935,0.000483405578143908
x264,4,hticket-ls,0.129198966408269,0.000785356137623165
volrend,3,ticket,0.0846023688663283,0.000630772852861036
blackscholes,2,clh_spin,0.0311526479750779,0.000239290008550023
pca,3,mcs-timepub,0.078003120124805,0.000494340280578576
water_spatial,4,ahmcs,0.011839924224485,9.80253509806318e-05
kmeans,1,hmcs,0.0226244343891403,0.000149317230010804
volrend,4,c-ptl-tkt,0.0749063670411985,0.000541293519618719
volrend,2,backoff,0.0911577028258888,0.000688696781023394
pca_ll,2,c-bo-mcs_stp,251129,1572.83405583278
