bench,node,strategy,throughput
fmm,2,clh_spin,0.0375657400450789
linear_regression,8,ticket,1.16279069767442
ferret,6,pthreadadapt,0.0527426160337553
lu_cb,4,malth_spin,0.0719942404607631
radiosity,1,malth_stp,0.0494559841740851
bodytrack,4,hticket-ls,0.0410677618069815
streamcluster,4,ticket-ls,0.294985250737463
histogram,4,pthreadadapt,0.526315789473684
water_nsquared,2,ticket-ls,0.0131285282919785
streamcluster,6,partitioned,0.179856115107914
x264,8,c-tkt-tkt,0.108695652173913
memcached-new,6,mcs_spin,375891
ferret,1,alock-ls,0.0117027501462844
dedup,6,c-tkt-tkt,0.0763941940412529
swaptions,1,ticket,0.0125470514429109
fmm,1,spinlock-ls,0.0304043782304652
dedup,6,partitioned,0.0486854917234664
streamcluster,6,c-ptl-tkt,0.239234449760766
freqmine,6,hticket-ls,0.0249625561657514
histogram,2,backoff,0.65359477124183
linear_regression,6,ticket,1.06382978723404
linear_regression,8,c-ptl-tkt,1.44927536231884
memcached-old,7,ttas-ls,51531
water_spatial,2,c-tkt-tkt,0.0403388463089956
radiosity_ll,1,ttas-ls,98252
volrend,2,malth_spin,0.0870322019147084
radiosity,1,mcs-ls,0.0510204081632653
memcached-old,7,alock-ls,114166
linear_regression,1,c-tkt-tkt,0.884955752212389
rocksdb,6,pthread,5803524
freqmine,8,malth_spin,0.026246719160105
swaptions,4,hmcs,0.040766408479413
matrix_multiply,4,alock-ls,0.0876424189307625
volrend,2,partitioned,0.0874890638670166
radiosity_ll,4,mcs-timepub,218336
fmm,4,mcs-ls,0.0504795557799091
water_nsquared,6,ttas-ls,0.0275862068965517
freqmine,1,c-bo-mcs_spin,0.00877423883478108
pca,4,spinlock,0.0433651344319167
bodytrack,2,pthreadadapt,0.0323939099449304
linear_regression,8,clh-ls,0.925925925925926
word_count,1,hticket-ls,0.0938086303939962
histogram,1,clh-ls,0.448430493273543
matrix_multiply,2,mcs_spin,0.0529100529100529
blackscholes,4,ticket,0.0290191526407429
s_raytrace,6,backoff,0.0997008973080758
s_raytrace_ll,8,c-bo-mcs_stp,70512
dedup,6,c-tkt-tkt,0.0634517766497462
pca,6,clh-ls,0.0555555555555556
ssl_proxy,6,clh-ls,49302
ferret,4,ahmcs,0.0286779466590192
volrend,8,ttas,0.0727272727272727
string_match,8,malth_spin,0.0539665407447383
s_raytrace_ll,4,ticket,116686
radiosity,4,mcs_spin,0.0538793103448276
radiosity_ll,1,ttas-ls,98753
s_raytrace_ll,6,c-ptl-tkt,350709
ssl_proxy,2,clh-ls,58954
bodytrack,4,ttas,0.0429184549356223
kyotocabinet,4,c-bo-mcs_stp,97656
rocksdb,8,c-bo-mcs_stp,8234732
bodytrack,2,ahmcs,0.0322061191626409
water_spatial,8,mcs_spin,0.0728862973760933
freqmine,2,malth_stp,0.0157282164202579
canneal,4,malth_stp,0.0127991808524254
ferret,1,partitioned,0.0117000117000117
streamcluster_ll,8,mcs-ls,3024
lu_cb,8,c-bo-mcs_stp,0.084530853761623
lu_ncb,8,mutexee,0.0482858522452921
linear_regression,8,mcs_spin,1.51515151515152
s_raytrace,4,c-bo-mcs_stp,0.0540832882639265
canneal,4,pthread,0.0127877237851662
string_match,2,clh-ls,0.0251382604323781
streamcluster_ll,2,c-bo-mcs_spin,14098
rocksdb,6,partitioned,6659165
water_nsquared,4,ahmcs,0.0166444740346205
linear_regression,1,partitioned,0.78125
rocksdb,2,ticket,2540101
histogram,1,malth_stp,0.427350427350427
pca,8,malth_spin,0.0643915003219575
matrix_multiply,2,clh-ls,0.0518134715025907
dedup,8,malth_spin,0.0429184549356223
linear_regression,2,mcs-ls,1.31578947368421
radiosity,2,ttas,0.0536768652710682
histogram,8,ttas,0.436681222707424
streamcluster_ll,4,c-bo-mcs_spin,14022
matrix_multiply,6,hticket-ls,0.0963391136801541
s_raytrace,8,hticket-ls,0.0876424189307625
rocksdb,4,hmcs,4164818
kyotocabinet,6,ttas,86822
ferret,2,clh-ls,0.0227324391907252
streamcluster,6,alock-ls,0.211864406779661
lu_ncb,4,malth_stp,0.0545851528384279
dedup,6,partitioned,0.00832570144034635
p_raytrace,1,ttas,0.013430029546065
linear_regression,6,hticket-ls,1.58730158730159
string_match,6,clh-ls,0.0536768652710682
water_nsquared,8,malth_stp,0.0380807311500381
