bench,node,strategy,throughput,latency
mysqld,8,mcs_stp,961,21720
upscaledb,4,clh_spin,183541,211
memcached-new,6,ticket-ls,205022,6979
ssl_proxy,2,pthread,25736,2592767
ssl_proxy,2,ticket-ls,41467,1524735
kyotocabinet,6,alock-ls,249267,565
memcached-new,1,malth_spin,244775,3539
sqlite,6,mcs_stp,1954,795647
kyotocabinet,2,backoff,357920,144
upscaledb,2,ticket-ls,165203,128
upscaledb,6,clh_stp,50346,1022
memcached-old,1,mutexee,130757,1458
memcached-new,6,malth_spin,260083,40607
memcached-old,7,hmcs,51796,22671
memcached-new,2,mcs_stp,96440,10439
memcached-new,4,mutexee,87055,13007
upscaledb,2,c-tkt-tkt,198216,1441
kyotocabinet,6,c-bo-mcs_stp,204247,277
upscaledb,8,hticket-ls,168641,5559
memcached-old,4,malth_stp,50236,8999
kyotocabinet,1,c-tkt-tkt,336813,97
upscaledb,6,pthread,67960,2939
mysqld,2,pthreadadapt,981,15574
memcached-new,2,hmcs,302554,3307
memcached-old,2,mcs_spin,76957,3555
ssl_proxy,2,c-bo-mcs_spin,37174,3035135
upscaledb,2,hticket-ls,198450,2043
upscaledb,1,hmcs,152600,889
memcached-new,4,mcs_spin,305389,3267
memcached-old,1,c-bo-mcs_spin,132565,1463
memcached-old,6,ticket-ls,20993,18223
ssl_proxy,8,c-bo-mcs_spin,27608,26050559
memcached-old,6,pthread,25574,17535
ssl_proxy,1,clh_spin,36327,828415
memcached-new,6,ticket-ls,205615,7491
memcached-new,4,ahmcs,324613,3097
memcached-new,2,pthread,157030,6399
upscaledb,8,hmcs,180276,4087
memcached-new,1,mcs-ls,246803,3533
mysqld,6,mcs_stp,974,45857
memcached-new,2,ttas,221392,5011
ssl_proxy,8,ticket,8797,72482815
kyotocabinet,4,alock-ls,277033,339
memcached-new,1,pthreadadapt,247234,3685
kyotocabinet,1,spinlock-ls,258562,157
memcached-new,6,pthread,58683,19423
memcached-old,2,backoff,71507,4235
kyotocabinet,6,ticket-ls,196229,694
kyotocabinet,1,mcs-timepub,329117,76
kyotocabinet,8,spinlock-ls,20900,23935
memcached-new,1,ttas,273559,3397
upscaledb,8,partitioned,151974,504
memcached-new,4,spinlock-ls,80399,31151
kyotocabinet,1,mcs_stp,81349,271
memcached-old,4,c-bo-mcs_stp,88268,3035
memcached-old,4,mcs_stp,40082,5035
ssl_proxy,4,alock-ls,39921,3049471
upscaledb,2,ahmcs,196833,2275
kyotocabinet,8,c-ptl-tkt,262207,2541
memcached-new,6,c-bo-mcs_spin,222852,43167
ssl_proxy,8,clh_spin,26921,21348351
kyotocabinet,6,hticket-ls,299683,2759
upscaledb,8,malth_stp,179792,248
kyotocabinet,4,c-tkt-tkt,320304,1904
ssl_proxy,8,hticket-ls,28394,19316735
upscaledb,1,alock-ls,166079,75
ssl_proxy,2,c-bo-mcs_stp,29005,3196927
memcached-old,1,pthreadadapt,125494,1815
ssl_proxy,6,clh_spin,33694,8716287
kyotocabinet,1,c-bo-mcs_stp,330727,23
sqlite,4,mcs_stp,1933,749055
upscaledb,4,mcs_stp,55931,634
ssl_proxy,6,backoff,34881,11673599
ssl_proxy,4,c-ptl-tkt,42474,3688447
ssl_proxy,8,mutexee,7312,86507519
upscaledb,4,mcs-timepub,162369,258
ssl_proxy,4,ticket,11445,12075007
upscaledb,4,backoff,153814,2413
kyotocabinet,8,malth_stp,265678,143
ssl_proxy,1,hmcs,36942,797695
upscaledb,8,pthreadadapt,88049,6963
memcached-new,6,ttas-ls,166848,7927
ssl_proxy,6,pthread,9510,31342591
ssl_proxy,4,c-bo-mcs_stp,25283,22609919
upscaledb,2,mcs_stp,66035,274
memcached-new,4,ahmcs,332356,2989
upscaledb,6,mutexee,87957,5387
memcached-new,4,mcs_spin,307560,3237
ssl_proxy,4,ahmcs,42746,4988927
memcached-old,7,ttas-ls,15323,36255
kyotocabinet,2,alock-ls,296190,162
kyotocabinet,2,ahmcs,342660,403
memcached-new,4,ttas,98095,25503
upscaledb,4,c-ptl-tkt,186031,3883
sqlite,6,mutexee,2879,570879
memcached-new,1,backoff,191686,5151
ssl_proxy,1,clh_spin,36505,804351
upscaledb,4,mcs-ls,177278,219
kyotocabinet,6,backoff,260788,713
upscaledb,4,mcs_stp,55033,641
kyotocabinet,1,spinlock,267321,129
ssl_proxy,1,mcs-ls,38326,780799
memcached-old,4,ticket,40797,6167
kyotocabinet,2,mcs-ls,303759,158
ssl_proxy,1,mcs-ls,38132,774143
kyotocabinet,1,c-bo-mcs_stp,375724,21
memcached-old,4,mcs-ls,51784,5199
memcached-new,6,ticket-ls,202932,8263
memcached-new,4,malth_spin,283085,28799
memcached-new,6,mcs-timepub,272959,4359
ssl_proxy,8,hmcs,31838,9633791
ssl_proxy,4,mcs-timepub,36035,3643391
upscaledb,6,clh_stp,50150,1036
memcached-new,1,pthread,194839,4103
kyotocabinet,4,mcs_stp,74619,1149
memcached-old,4,hmcs,79516,3931
sqlite,4,mutexee,4394,327935
memcached-new,6,ticket-ls,184965,8431
memcached-new,1,ticket,265735,3457
memcached-new,4,alock-ls,317559,3787
upscaledb,2,ahmcs,198482,2135
memcached-old,7,malth_spin,30740,18991
memcached-new,2,c-tkt-tkt,313992,3179
memcached-new,6,mcs-ls,272599,4419
memcached-old,4,c-bo-mcs_stp,92820,3353
upscaledb,1,mcs-ls,162146,76
ssl_proxy,1,hmcs,36619,808959
ssl_proxy,6,clh_stp,4412,88801279
upscaledb,2,hticket-ls,196171,2275
upscaledb,2,mcs-timepub,166834,126
upscaledb,2,malth_stp,168913,344
memcached-old,1,spinlock-ls,152322,1391
upscaledb,8,c-tkt-tkt,170221,4375
ssl_proxy,8,hmcs,31306,16670719
upscaledb,4,c-tkt-tkt,188218,3849
memcached-new,4,mcs-timepub,306065,3231
upscaledb,6,ticket,94696,569
upscaledb,4,ahmcs,203793,3523
ssl_proxy,8,alock-ls,26773,9748479
upscaledb,2,clh-ls,175411,121
memcached-old,4,spinlock-ls,49771,4311
memcached-new,4,mcs-ls,304662,3255
ssl_proxy,2,mcs-timepub,39770,1506303
kyotocabinet,1,spinlock-ls,268614,169
ssl_proxy,6,c-ptl-tkt,35268,12058623
kyotocabinet,8,malth_spin,216315,153
memcached-old,2,alock-ls,80096,2841
memcached-old,1,c-bo-mcs_spin,130320,1458
ssl_proxy,8,mcs_spin,26841,11976703
memcached-old,6,hmcs,72268,12663
kyotocabinet,1,ttas-ls,285576,121
kyotocabinet,8,pthread,63194,5531
memcached-old,4,mcs_spin,37690,9367
ssl_proxy,1,backoff,40200,745983
memcached-old,4,ttas,43873,9551
kyotocabinet,1,c-bo-mcs_spin,377495,19
memcached-new,1,mutexee,201425,4045
kyotocabinet,2,malth_stp,304108,142
memcached-new,4,pthreadadapt,128113,9559
kyotocabinet,8,ttas-ls,78230,3953
memcached-old,7,mcs-ls,26243,22671
upscaledb,8,clh_spin,165029,468
ssl_proxy,1,hmcs,37226,799231
memcached-new,6,ticket-ls,204338,6859
upscaledb,8,pthreadadapt,92213,7147
kyotocabinet,1,c-bo-mcs_stp,324861,26
memcached-new,2,c-tkt-tkt,316718,3121
memcached-old,4,mcs_spin,37654,11383
memcached-new,4,alock-ls,316937,3779
upscaledb,6,backoff,144802,5127
upscaledb,4,spinlock,74311,2107
kyotocabinet,4,c-bo-mcs_spin,351185,36
memcached-new,1,mcs_spin,264131,3463
memcached-new,4,mcs_stp,89831,11999
memcached-old,2,mcs_stp,72022,3513
mysqld,4,malth_stp,1034,12931
memcached-new,2,hmcs,331907,2973
ssl_proxy,6,c-ptl-tkt,35604,5672959
upscaledb,6,mcs_stp,47932,1073
memcached-new,1,c-bo-mcs_stp,161005,7367
memcached-new,1,ahmcs,255156,3563
sqlite,2,mcs-timepub,12575,116415
upscaledb,2,alock-ls,179760,118
sqlite,4,mutexee,4158,357375
upscaledb,1,ahmcs,155836,854
memcached-old,2,ticket,82976,2335
upscaledb,4,c-tkt-tkt,186917,3877
sqlite,6,c-bo-mcs_stp,10114,373503
mysqld,8,malth_stp,987,5831
sqlite,2,pthread,5562,243455
kyotocabinet,1,ticket-ls,343810,72
ssl_proxy,1,backoff,39763,767487
kyotocabinet,4,spinlock,68929,2671
kyotocabinet,1,pthreadadapt,275809,270
ssl_proxy,6,clh_spin,34524,7974911
ssl_proxy,6,alock-ls,35085,9699327
memcached-new,1,pthread,191651,4159
upscaledb,2,ttas,120696,1217
memcached-old,4,c-bo-mcs_spin,87321,2281
memcached-new,6,ahmcs,318057,3027
upscaledb,8,c-bo-mcs_spin,174257,77
memcached-new,2,ticket-ls,304579,3243
kyotocabinet,8,alock-ls,231446,818
upscaledb,1,clh-ls,162497,75
memcached-old,1,ticket-ls,185609,1347
memcached-old,1,mcs_spin,120678,1507
ssl_proxy,8,clh_spin,26865,21774335
sqlite,1,malth_stp,9663,128447
mysqld,1,mutexee,1036,9200
sqlite,6,c-bo-mcs_stp,10168,359935
kyotocabinet,1,ttas,322799,166
memcached-old,2,ticket,98631,4095
upscaledb,2,mcs-ls,174698,123
kyotocabinet,4,mutexee,121066,1514
ssl_proxy,1,ttas,39678,785407
upscaledb,1,partitioned,165674,75
upscaledb,1,malth_spin,172745,251
upscaledb,1,ticket,159257,77
upscaledb,1,spinlock,150436,239
ssl_proxy,4,ttas-ls,10330,17989631
upscaledb,1,clh_stp,67374,143
memcached-old,4,ticket-ls,38958,6031
memcached-new,2,spinlock-ls,187611,5723
upscaledb,8,pthread,56126,4847
kyotocabinet,1,hmcs,383975,105
memcached-new,6,mutexee,70512,16831
memcached-old,4,c-tkt-tkt,77584,3145
sqlite,8,c-bo-mcs_stp,2268,1234943
upscaledb,4,ttas,78968,5175
upscaledb,8,clh-ls,159878,478
memcached-old,6,malth_stp,35688,16295
memcached-old,4,mcs_stp,35919,5935
memcached-old,4,backoff,41832,4815
kyotocabinet,1,backoff,379703,32
kyotocabinet,6,spinlock-ls,33005,10175
memcached-new,6,mcs_spin,321044,3283
memcached-old,7,c-bo-mcs_stp,61809,17295
memcached-old,2,mcs_spin,77936,2537
upscaledb,2,pthreadadapt,106612,2459
upscaledb,8,clh_spin,165501,466
ssl_proxy,4,mcs_spin,37446,3416063
ssl_proxy,4,backoff,40089,7364607
memcached-old,1,ttas-ls,165841,2707
memcached-old,1,ttas,182675,2637
memcached-new,1,ahmcs,248423,3501
memcached-new,4,malth_stp,243688,32527
memcached-old,6,mcs_spin,23810,15263
upscaledb,6,malth_stp,177723,276
kyotocabinet,2,hmcs,331470,324
kyotocabinet,6,spinlock-ls,31610,9839
upscaledb,1,clh_stp,68436,142
upscaledb,1,hticket-ls,148499,584
memcached-new,2,ttas-ls,230321,23279
upscaledb,4,pthread,100054,2697
memcached-old,2,malth_spin,95738,2065
upscaledb,8,spinlock,21461,16103
kyotocabinet,6,c-ptl-tkt,287035,2301
ssl_proxy,1,c-tkt-tkt,38350,765951
ssl_proxy,1,alock-ls,37632,796671
ssl_proxy,6,malth_stp,24559,15466495
memcached-old,2,pthread,73607,4235
memcached-new,4,ahmcs,340107,2933
sqlite,6,malth_stp,11735,182015
kyotocabinet,8,clh_stp,55033,3055
kyotocabinet,1,spinlock-ls,274456,135
kyotocabinet,6,clh-ls,248766,564
memcached-old,6,ahmcs,28434,28559
kyotocabinet,1,clh_spin,330698,74
ssl_proxy,6,ticket-ls,20481,10952703
kyotocabinet,2,spinlock,146753,578
memcached-new,4,mcs_stp,90225,11991
upscaledb,2,malth_spin,192826,336
kyotocabinet,6,ttas,57325,11127
ssl_proxy,8,ticket-ls,15916,38928383
memcached-new,4,ttas-ls,121060,10583
memcached-old,2,backoff,73156,2605
sqlite,6,pthread,3250,525311
upscaledb,8,backoff,146534,5923
ssl_proxy,8,mcs_stp,4344,90177535
memcached-new,4,malth_stp,252580,30255
upscaledb,6,c-bo-mcs_stp,97622,309
memcached-old,6,mcs-ls,37833,15071
memcached-old,6,hmcs,73235,13287
kyotocabinet,2,alock-ls,299191,160
memcached-old,2,mcs-ls,92477,3757
kyotocabinet,1,mcs_stp,90218,262
kyotocabinet,2,mcs_stp,79660,545
memcached-new,6,malth_spin,271039,40031
memcached-old,1,ttas-ls,181833,2951
upscaledb,2,mcs_spin,178236,122
ssl_proxy,2,ttas,24834,7892991
mysqld,6,mcs-timepub,600,76180
memcached-old,6,mcs_stp,25155,10455
upscaledb,4,mcs-timepub,163809,249
memcached-old,4,hmcs,85751,2931
memcached-old,4,ticket,42195,15383
memcached-new,6,pthread,59058,19471
memcached-new,4,spinlock-ls,78140,31407
memcached-new,1,hmcs,242800,3573
upscaledb,4,hmcs,200664,3579
upscaledb,1,clh_spin,166723,75
mysqld,8,mcs_stp,971,34601
ssl_proxy,4,mcs_stp,4775,67895295
memcached-new,2,ticket,224164,4491
upscaledb,4,backoff,154844,2413
kyotocabinet,2,mcs_stp,81833,530
kyotocabinet,2,ticket-ls,297428,161
ssl_proxy,8,clh-ls,26097,20119551
ssl_proxy,6,mutexee,8882,47218687
memcached-new,6,mcs-ls,273267,5451
upscaledb,6,hmcs,178958,4071
ssl_proxy,2,pthread,25628,2752511
memcached-new,2,hmcs,335314,2919
mysqld,1,pthread,998,14971
memcached-old,6,spinlock-ls,33816,16655
ssl_proxy,6,mutexee,8930,48234495
memcached-old,1,mcs_stp,124869,1475
upscaledb,4,mutexee,88838,3627
memcached-old,4,hmcs,84002,3843
upscaledb,8,clh_stp,49688,1362
kyotocabinet,4,mcs_spin,304511,316
sqlite,1,mcs_stp,10490,122815
kyotocabinet,4,ticket-ls,234976,387
memcached-old,4,c-tkt-tkt,64992,4259
upscaledb,4,c-ptl-tkt,190932,3791
memcached-old,1,mutexee,113402,1676
ssl_proxy,1,partitioned,38515,791551
ssl_proxy,4,pthread,13736,23330815
memcached-new,2,ahmcs,322418,3089
memcached-old,1,spinlock,164203,1375
upscaledb,8,spinlock-ls,29250,16703
kyotocabinet,8,ahmcs,298793,2255
memcached-old,7,ahmcs,26825,31279
memcached-old,2,hmcs,96837,1956
ssl_proxy,2,malth_stp,28189,2420735
memcached-new,1,c-tkt-tkt,264936,3403
memcached-old,7,malth_stp,27757,18799
memcached-new,4,ticket,134701,7939
memcached-old,6,ahmcs,31768,29503
kyotocabinet,2,clh-ls,288092,164
memcached-new,6,mcs_stp,77292,13831
memcached-new,2,mcs_stp,95164,10615
memcached-new,2,mcs_spin,347515,2815
upscaledb,1,clh_spin,167497,74
ssl_proxy,2,ttas-ls,23800,12124159
ssl_proxy,1,ttas,39247,822783
memcached-old,2,ahmcs,96492,2537
kyotocabinet,1,mcs-timepub,331234,75
ssl_proxy,8,clh_stp,4270,89325567
kyotocabinet,2,malth_spin,292493,151
kyotocabinet,2,clh-ls,286137,165
upscaledb,6,ticket-ls,130111,443
upscaledb,1,malth_stp,156244,372
ssl_proxy,8,mcs_spin,26656,14983167
memcached-new,6,ticket,110542,11847
memcached-new,1,mcs-ls,242097,3503
ssl_proxy,1,ticket,38488,782335
upscaledb,4,clh_spin,186153,207
kyotocabinet,8,c-bo-mcs_stp,130904,392
memcached-new,2,c-tkt-tkt,325412,3041
kyotocabinet,2,mcs_spin,327555,149
memcached-old,2,ahmcs,104343,5543
ssl_proxy,4,c-ptl-tkt,40701,5783551
memcached-new,6,c-tkt-tkt,267600,3541
memcached-new,2,ahmcs,332307,2977
sqlite,2,pthread,5503,247167
memcached-old,6,ticket,22466,17375
memcached-old,2,mcs_spin,71374,4823
upscaledb,2,backoff,152195,1198
upscaledb,2,pthreadadapt,100433,3003
ssl_proxy,6,c-ptl-tkt,35005,6426623
kyotocabinet,2,malth_stp,310230,140
upscaledb,1,malth_stp,155442,372
kyotocabinet,6,c-bo-mcs_stp,192175,284
kyotocabinet,1,ticket-ls,349813,72
memcached-old,1,mcs_stp,119552,1653
sqlite,8,mutexee,2511,740863
ssl_proxy,8,clh_stp,4083,89391103
memcached-new,6,c-bo-mcs_spin,230173,27743
memcached-new,2,ticket-ls,295648,3347
upscaledb,8,c-bo-mcs_spin,169583,81
memcached-old,2,ttas-ls,88479,3201
memcached-new,4,ttas-ls,118001,10207
upscaledb,4,c-bo-mcs_spin,178915,43
kyotocabinet,6,mutexee,86289,3191
ssl_proxy,1,backoff,40319,742911
memcached-new,2,c-bo-mcs_stp,154753,21231
kyotocabinet,1,mcs_spin,350140,71
mysqld,8,mcs-timepub,708,59259
upscaledb,2,spinlock-ls,130966,624
memcached-old,2,hmcs,106023,1731
ssl_proxy,8,spinlock,2146,90832895
upscaledb,6,ticket-ls,130853,446
memcached-old,7,mcs_stp,18480,32831
memcached-new,2,hmcs,319911,3137
memcached-old,7,hmcs,50158,26479
kyotocabinet,6,hticket-ls,297884,2775
upscaledb,6,c-tkt-tkt,169419,4331
memcached-new,4,pthreadadapt,123080,9951
upscaledb,4,clh-ls,177931,217
upscaledb,6,alock-ls,163112,358
kyotocabinet,8,partitioned,226658,828
kyotocabinet,2,mcs-ls,302609,158
memcached-new,6,ticket-ls,184166,18703
memcached-old,7,ticket,15041,34271
ssl_proxy,1,spinlock,36542,852991
ssl_proxy,6,c-bo-mcs_stp,14978,47284223
kyotocabinet,1,mcs-timepub,327746,76
kyotocabinet,8,mcs_stp,55966,3047
upscaledb,6,clh-ls,160306,364
ssl_proxy,1,ahmcs,37662,1391615
upscaledb,8,pthread,56164,4871
memcached-new,2,ahmcs,327478,3047
ssl_proxy,6,mcs_spin,33386,12255231
kyotocabinet,1,malth_stp,316626,139
upscaledb,6,ttas,62176,10463
memcached-old,1,mcs-ls,123584,1477
ssl_proxy,2,backoff,44011,1881087
kyotocabinet,4,c-tkt-tkt,318557,1925
upscaledb,8,c-tkt-tkt,169743,4375
upscaledb,6,mcs-ls,157555,368
upscaledb,1,hticket-ls,143017,618
memcached-new,6,ticket,113822,10063
kyotocabinet,1,spinlock,259889,135
mysqld,1,c-bo-mcs_stp,746,48706
kyotocabinet,8,mcs_spin,257398,769
ssl_proxy,2,malth_stp,28336,2281471
upscaledb,1,ahmcs,162995,983
memcached-old,6,ticket,21417,17551
ssl_proxy,1,hticket-ls,37354,787967
memcached-new,4,mutexee,99344,11359
upscaledb,4,spinlock,78931,2109
memcached-new,4,alock-ls,316162,3771
memcached-old,4,ttas,45360,8695
ssl_proxy,1,pthreadadapt,36102,823807
kyotocabinet,4,c-tkt-tkt,317437,1941
kyotocabinet,1,c-bo-mcs_stp,328508,28
kyotocabinet,1,mcs-timepub,332295,74
upscaledb,1,hmcs,153379,881
ssl_proxy,8,clh_stp,4249,89128959
memcached-new,6,malth_spin,264195,20959
ssl_proxy,4,spinlock-ls,7663,39419903
memcached-old,4,alock-ls,54101,7667
kyotocabinet,1,clh_spin,332985,73
upscaledb,8,clh_stp,51375,1324
ssl_proxy,1,mutexee,33055,946175
memcached-old,1,mcs-timepub,114064,1628
upscaledb,2,clh_spin,178546,120
memcached-new,4,pthread,85986,13119
memcached-old,6,c-bo-mcs_stp,73759,13263
memcached-new,2,alock-ls,321865,3185
mysqld,6,pthreadadapt,1025,825796
ssl_proxy,8,spinlock,2158,90832895
memcached-old,1,ticket,167988,1718
memcached-new,4,mcs_spin,317232,3113
sqlite,6,pthread,3322,505087
memcached-old,7,spinlock,18932,31231
kyotocabinet,6,clh-ls,246735,568
memcached-new,1,c-bo-mcs_spin,172854,6003
memcached-old,7,malth_stp,27240,22111
kyotocabinet,1,ttas,293708,155
kyotocabinet,8,mcs-timepub,217256,877
upscaledb,6,pthread,66133,3047
ssl_proxy,1,mcs_spin,37175,803839
ssl_proxy,2,partitioned,43927,1648639
memcached-new,4,spinlock,64080,31359
memcached-new,4,ttas,103581,14207
ssl_proxy,6,mcs-ls,34326,5263359
upscaledb,4,mcs_stp,56381,628
ssl_proxy,4,alock-ls,40414,3379199
ssl_proxy,2,ttas,27518,11108351
memcached-new,4,ttas,99855,34303
kyotocabinet,6,spinlock,27349,11231
kyotocabinet,4,clh-ls,268130,349
memcached-new,6,mcs_spin,297747,3091
memcached-new,4,ttas,101777,14567
sqlite,6,c-bo-mcs_stp,10337,323583
upscaledb,2,spinlock,120615,689
upscaledb,1,spinlock,150247,242
kyotocabinet,6,pthreadadapt,93785,4743
ssl_proxy,4,c-ptl-tkt,41012,3846143
memcached-new,6,mcs-ls,299910,4063
upscaledb,8,hmcs,175385,4215
ssl_proxy,2,ahmcs,42894,1604607
kyotocabinet,4,mcs_stp,76382,1123
kyotocabinet,2,spinlock-ls,141050,632
upscaledb,1,mutexee,80951,2675
memcached-new,4,spinlock-ls,75151,28255
ssl_proxy,6,hticket-ls,34503,12910591
kyotocabinet,2,partitioned,308696,156
memcached-new,6,mcs-timepub,294595,3871
memcached-old,4,c-tkt-tkt,71856,2749
memcached-new,2,alock-ls,311855,3175
kyotocabinet,8,mutexee,66116,5591
sqlite,1,pthreadadapt,7738,163199
memcached-old,1,spinlock-ls,171788,1777
upscaledb,4,partitioned,171138,231
memcached-old,4,c-tkt-tkt,73376,2867
mysqld,2,mcs_stp,948,37511
memcached-old,6,hmcs,68044,9591
memcached-old,6,mcs_stp,23861,18191
ssl_proxy,8,partitioned,23291,20725759
upscaledb,8,mcs-ls,154272,518
memcached-new,6,ttas,100620,33855
memcached-new,2,ahmcs,328109,3021
kyotocabinet,4,clh_spin,290233,329
ssl_proxy,2,c-tkt-tkt,47489,1317887
memcached-old,1,ticket,171152,1678
sqlite,1,c-bo-mcs_stp,9729,141567
upscaledb,6,ttas,67672,9743
memcached-new,6,ttas,110855,67583
memcached-old,6,pthreadadapt,22255,18127
memcached-old,4,pthreadadapt,33706,9023
memcached-old,7,hmcs,44960,27967
kyotocabinet,1,alock-ls,315021,77
memcached-new,4,ttas-ls,126792,10311
kyotocabinet,4,clh_spin,292101,325
memcached-old,1,pthread,119409,2645
memcached-old,6,c-tkt-tkt,53942,15431
memcached-new,6,mcs-timepub,279902,3957
kyotocabinet,4,mutexee,123130,1504
memcached-new,6,ticket-ls,196456,6919
ssl_proxy,2,c-bo-mcs_spin,35470,2482175
kyotocabinet,4,malth_stp,285253,144
memcached-new,2,mcs-timepub,306939,3233
upscaledb,1,hticket-ls,148479,587
memcached-old,2,c-bo-mcs_spin,106940,2183
ssl_proxy,1,clh_stp,33045,903679
memcached-new,6,hmcs,314342,3439
kyotocabinet,4,clh_stp,72493,1183
memcached-new,2,mcs-ls,303403,3261
kyotocabinet,6,pthreadadapt,106129,4331
memcached-new,2,c-tkt-tkt,322667,3051
kyotocabinet,8,ticket-ls,174140,1106
ssl_proxy,4,partitioned,39318,3084287
ssl_proxy,8,c-ptl-tkt,28304,17399807
memcached-old,2,mcs_spin,75085,3377
memcached-old,4,backoff,38989,6047
upscaledb,4,spinlock-ls,84826,2042
upscaledb,1,ticket,155368,82
memcached-old,2,spinlock-ls,91512,1613
memcached-old,4,ttas,48245,4187
memcached-old,6,mcs_spin,25808,17455
upscaledb,6,clh_spin,163776,358
ssl_proxy,2,malth_stp,28135,2355199
memcached-new,1,mcs_stp,235873,3641
sqlite,8,pthread,2788,672255
upscaledb,8,c-ptl-tkt,164541,4347
memcached-old,1,c-bo-mcs_spin,136415,1434
kyotocabinet,2,alock-ls,295559,162
kyotocabinet,4,mutexee,117620,1563
memcached-old,6,spinlock-ls,29971,18191
sqlite,1,pthread,6877,183039
kyotocabinet,8,c-ptl-tkt,257293,2581
memcached-old,6,ttas-ls,30079,16991
upscaledb,2,c-ptl-tkt,196325,1485
memcached-new,2,ttas,219897,5019
memcached-old,7,malth_spin,29711,19455
ssl_proxy,1,c-tkt-tkt,38307,792063
memcached-old,4,malth_stp,46970,7115
memcached-old,1,ahmcs,131151,2119
memcached-new,6,mcs_stp,74207,14359
upscaledb,1,mutexee,79723,2083
memcached-old,2,ticket-ls,97508,1722
upscaledb,6,ttas-ls,49036,5571
kyotocabinet,2,hticket-ls,327328,339
kyotocabinet,8,c-ptl-tkt,259327,2565
kyotocabinet,8,ticket,106638,1610
memcached-new,6,malth_stp,235481,40031
memcached-old,6,mcs_spin,23678,14175
memcached-new,2,ticket,219736,4635
mysqld,2,malth_stp,1100,6998
memcached-new,6,ahmcs,317418,3011
memcached-old,2,spinlock-ls,101270,4167
memcached-new,2,malth_spin,295045,5599
memcached-old,2,spinlock-ls,90347,8327
kyotocabinet,4,mutexee,120096,1524
memcached-old,6,c-bo-mcs_stp,75442,13335
memcached-new,1,backoff,191038,5311
ssl_proxy,1,ahmcs,36787,1462271
memcached-old,7,ticket-ls,11976,39487
ssl_proxy,8,mcs-timepub,24210,20267007
memcached-old,6,c-bo-mcs_spin,74328,13831
kyotocabinet,6,ttas,58986,9767
memcached-old,4,malth_stp,47023,4367
upscaledb,4,spinlock-ls,89350,1830
kyotocabinet,1,pthread,240942,162
ssl_proxy,6,clh-ls,34356,8642559
ssl_proxy,2,ahmcs,42049,2492415
kyotocabinet,2,backoff,358354,144
ssl_proxy,1,malth_stp,34006,909823
ssl_proxy,8,malth_stp,23397,16678911
kyotocabinet,4,mutexee,118269,1552
memcached-old,1,malth_stp,122530,1484
memcached-new,6,ahmcs,309159,3129
ssl_proxy,2,c-ptl-tkt,45927,1358847
kyotocabinet,2,clh_spin,314891,153
memcached-new,2,mcs-ls,289252,3479
memcached-new,6,ahmcs,329617,2987
kyotocabinet,6,ttas,60661,10359
memcached-old,1,c-bo-mcs_stp,129788,1464
ssl_proxy,8,mcs_stp,4182,90177535
upscaledb,1,mcs-ls,163583,76
memcached-new,1,backoff,194528,5123
ssl_proxy,1,alock-ls,36723,804351
ssl_proxy,2,clh_stp,5111,17793023
kyotocabinet,6,c-ptl-tkt,282432,2339
ssl_proxy,2,mcs-timepub,38800,1466367
memcached-new,4,alock-ls,319398,3689
memcached-new,6,pthread,56708,20095
upscaledb,8,c-ptl-tkt,171191,4343
ssl_proxy,4,c-bo-mcs_spin,36494,18825215
mysqld,8,malth_stp,1058,62740
memcached-old,7,ticket,15197,33567
memcached-new,2,malth_spin,301786,5439
upscaledb,4,spinlock-ls,87023,1990
upscaledb,2,partitioned,176750,121
sqlite,4,c-bo-mcs_stp,12291,158207
kyotocabinet,2,mcs-ls,303274,158
kyotocabinet,4,c-bo-mcs_spin,355182,36
memcached-new,4,mutexee,99016,11399
memcached-new,2,mcs-timepub,302102,3289
upscaledb,8,malth_stp,180387,246
upscaledb,2,spinlock-ls,131933,621
upscaledb,8,ahmcs,176689,4159
ssl_proxy,4,mutexee,13365,15949823
memcached-new,2,backoff,234357,10719
ssl_proxy,2,mcs-ls,41059,1638399
kyotocabinet,2,c-tkt-tkt,345013,291
upscaledb,2,spinlock,126479,622
memcached-old,6,hmcs,72964,11159
upscaledb,1,mcs_stp,69439,139
kyotocabinet,2,mutexee,211028,628
memcached-old,1,spinlock-ls,182754,1268
memcached-old,6,mcs_spin,23766,17247
mysqld,4,pthread,926,22290
memcached-new,1,malth_stp,242258,3653
sqlite,8,malth_stp,11899,213247
memcached-new,4,ahmcs,329646,2987
memcached-new,4,spinlock-ls,79038,32511
kyotocabinet,6,spinlock-ls,32802,10743
upscaledb,8,alock-ls,164164,470
upscaledb,2,ticket,148422,139
memcached-new,6,mcs-ls,281469,4807
upscaledb,4,ttas,81749,5283
memcached-new,2,spinlock-ls,181124,12423
kyotocabinet,4,clh-ls,267971,349
kyotocabinet,6,partitioned,251462,557
upscaledb,2,spinlock-ls,131155,635
kyotocabinet,4,clh_spin,293044,323
memcached-old,7,ttas-ls,15256,32863
mysqld,6,pthreadadapt,1021,13436
memcached-old,1,pthread,120542,1794
kyotocabinet,1,alock-ls,316602,77
upscaledb,4,ahmcs,205934,3489
upscaledb,8,mcs_spin,163493,479
memcached-new,2,c-tkt-tkt,321214,3083
upscaledb,8,partitioned,152969,507
ssl_proxy,1,spinlock-ls,39096,781311
sqlite,4,pthread,4132,361471
